P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Enoli Paredes (15272913),Enoli Paredes,15272913,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,3.13
,,,,,,,,,,,SP,Tyler Phillips (15272917),Tyler Phillips,15272917,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,RP,Ralph Garza Jr. (15272918),Ralph Garza Jr.,15272918,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,SP,Forrest Whitley (15272919),Forrest Whitley,15272919,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Nick Goody (15272920),Nick Goody,15272920,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,1.5
,,,,,,,,,,,SP,Wes Benjamin (15272921),Wes Benjamin,15272921,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,4.9
,,,,,,,,,,,RP,Joely Rodriguez (15272922),Joely Rodriguez,15272922,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,4.29
,,,,,,,,,,,SP,Blake Taylor (15272923),Blake Taylor,15272923,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,3.40
,,,,,,,,,,,RP,Cy Sneed (15272924),Cy Sneed,15272924,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,2.64
,,,,,,,,,,,RP,DeMarcus Evans (15272925),DeMarcus Evans,15272925,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,RP,Roberto Osuna (15272926),Roberto Osuna,15272926,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,2.99
,,,,,,,,,,,SP,Shawn Dubin (15272927),Shawn Dubin,15272927,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Joe Biagini (15272930),Joe Biagini,15272930,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,-2.66
,,,,,,,,,,,RP,Ryan Pressly (15272931),Ryan Pressly,15272931,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,3.26
,,,,,,,,,,,RP,Brandon Bailey (15272933),Brandon Bailey,15272933,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,2.9
,,,,,,,,,,,RP,Nivaldo Rodriguez (15272934),Nivaldo Rodriguez,15272934,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0.18
,,,,,,,,,,,RP,Brooks Raley (15272935),Brooks Raley,15272935,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,2.62
,,,,,,,,,,,RP,Wei-Chieh Huang (15272938),Wei-Chieh Huang,15272938,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,SP,Kyle Cody (15272939),Kyle Cody,15272939,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,6.45
,,,,,,,,,,,RP,Luke Farrell (15272940),Luke Farrell,15272940,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,1.17
,,,,,,,,,,,1B,Colin Moran (15272710),Colin Moran,15272710,1B,3900,CHC@PIT 09/03/2020 01:35PM ET,PIT,8.42
,,,,,,,,,,,2B/OF,Adam Frazier (15272712),Adam Frazier,15272712,2B/OF,3800,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.82
,,,,,,,,,,,C,Jacob Stallings (15272714),Jacob Stallings,15272714,C,3800,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.92
,,,,,,,,,,,3B/OF,Phillip Evans (15272762),Phillip Evans,15272762,3B/OF,3800,CHC@PIT 09/03/2020 01:35PM ET,PIT,8.64
,,,,,,,,,,,1B,Josh Bell (15272715),Josh Bell,15272715,1B,3700,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.61
,,,,,,,,,,,1B,Danny Santana (15272764),Danny Santana,15272764,1B,3700,TEX@HOU 09/03/2020 02:10PM ET,TEX,5.93
,,,,,,,,,,,OF,Anthony Alford (15272716),Anthony Alford,15272716,OF,3600,CHC@PIT 09/03/2020 01:35PM ET,PIT,4.13
,,,,,,,,,,,3B/SS,Isiah Kiner-Falefa (15272717),Isiah Kiner-Falefa,15272717,3B/SS,3500,TEX@HOU 09/03/2020 02:10PM ET,TEX,6.82
,,,,,,,,,,,OF,Michael Brantley (15272719),Michael Brantley,15272719,OF,3500,TEX@HOU 09/03/2020 02:10PM ET,HOU,9
,,,,,,,,,,,OF,Bryan Reynolds (15272766),Bryan Reynolds,15272766,OF,3400,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.47
,,,,,,,,,,,OF,Josh Reddick (15272720),Josh Reddick,15272720,OF,3400,TEX@HOU 09/03/2020 02:10PM ET,HOU,6.12
,,,,,,,,,,,2B,Rougned Odor (15272765),Rougned Odor,15272765,2B,3400,TEX@HOU 09/03/2020 02:10PM ET,TEX,4.77
,,,,,,,,,,,OF,Gregory Polanco (15272726),Gregory Polanco,15272726,OF,3300,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.38
,,,,,,,,,,,1B/2B,Derek Dietrich (15272721),Derek Dietrich,15272721,1B/2B,3300,TEX@HOU 09/03/2020 02:10PM ET,TEX,4.93
,,,,,,,,,,,C,Jeff Mathis (15272723),Jeff Mathis,15272723,C,3300,TEX@HOU 09/03/2020 02:10PM ET,TEX,4.77
,,,,,,,,,,,3B/SS,Jack Mayfield (15272724),Jack Mayfield,15272724,3B/SS,3300,TEX@HOU 09/03/2020 02:10PM ET,HOU,2
,,,,,,,,,,,OF,Myles Straw (15272727),Myles Straw,15272727,OF,3200,TEX@HOU 09/03/2020 02:10PM ET,HOU,4.41
